Sample	Counts
SRR413730	11356758
SRR413731	21208837
SRR413732	14805338
SRR413733	24407484
SRR413734	11941115
SRR413735	16141590
SRR413736	23474687
SRR413737	13003408
SRR413738	15771456
SRR413739	13662703
SRR413740	15853112
SRR413741	15134531
SRR413742	13945206
SRR413743	14986191
SRR413744	9528600
SRR413745	9801148
SRR413746	13573473
SRR413747	9543608
SRR413748	12395537
SRR413749	12820116
SRR413750	14344776
SRR413751	13931295
SRR413752	14218117
SRR413753	17855241
SRR413754	16312940
SRR413755	7782128
SRR413756	5860710
SRR413757	21066618
SRR413758	7768951
SRR413759	16327975
SRR413760	15018986
SRR413761	17947708
SRR413762	13157393
SRR413763	7639560
SRR413764	17818213
SRR413765	20063845
SRR413766	26293153
SRR413767	14851558
SRR413768	10579935
SRR413769	24495386
SRR413770	18674667
SRR413771	13850342
SRR413772	14639305
SRR413773	12779114
ERR260132	6528164
ERR260133	6196800
ERR260134	34466564
ERR260135	25678400
ERR260136	5028997
ERR260137	2737339
ERR260138	7598917
ERR260139	4149816
ERR260140	4743958
ERR260141	3752922
ERR260142	4337388
ERR260143	4226716
ERR260144	4179747
ERR260145	5607828
ERR260146	7325168
ERR260147	4794478
ERR260148	6584710
ERR260149	7563775
ERR260150	7614124
ERR260151	3218583
ERR260152	3282101
ERR260153	5410818
ERR260154	5417898
ERR260155	5196789
ERR260156	2756651
ERR260157	5289753
ERR260158	2812724
ERR260159	4723828
ERR260160	5680126
ERR260161	9028329
ERR260162	11837567
ERR260163	4627270
ERR260164	6789592
ERR260165	8080427
ERR260166	5466817
ERR260167	11201653
ERR260168	9447873
ERR260169	3251336
ERR260170	6072508
ERR260171	11394823
ERR260172	14693339
ERR260173	10124793
ERR260174	8497644
ERR260175	6127423
ERR260176	8635001
ERR260177	11160600
ERR260178	9757742
ERR260179	9678802
ERR260180	4931520
ERR260181	10551232
ERR260182	9557099
ERR260183	6008796
ERR260184	6235768
ERR260185	8001564
ERR260186	5805851
ERR260187	5177842
ERR260188	8291875
ERR260189	5698555
ERR260190	6076403
ERR260191	9126741
ERR260192	7121470
ERR260193	4729291
ERR260194	8274510
ERR260195	4446958
ERR260196	6963242
ERR260197	6071065
ERR260198	8854417
ERR260199	3917135
ERR260200	5457933
ERR260201	9732059
ERR260202	5788974
ERR260203	4171436
ERR260204	4727857
ERR260205	3902173
ERR260206	2509978
ERR260207	4709154
ERR260208	5275118
ERR260209	3788643
ERR260210	4500594
ERR260211	5254671
ERR260214	9641790
ERR260215	2933010
ERR260217	4192018
ERR260218	2023908
ERR260220	4071183
ERR260221	2540135
ERR260222	3935575
ERR260224	4647286
ERR260225	3215674
ERR260226	3487075
ERR260227	5706151
ERR260228	5363652
ERR260229	7888272
ERR260230	3253631
ERR260231	3673049
ERR260232	3002482
ERR260233	3969347
ERR260234	3740949
ERR260235	3178643
ERR260236	2542335
ERR260237	5391017
ERR260238	7664667
ERR260239	6208041
ERR260240	6183718
ERR260241	3777007
ERR260242	2692679
ERR260243	5337037
ERR260244	4303836
ERR260245	4097826
ERR260246	5932826
ERR260247	5805060
ERR260248	4073368
ERR260249	3182521
ERR260250	5565034
ERR260251	4899848
ERR260252	3267196
ERR260253	4288109
ERR260254	3155589
ERR260255	4036064
ERR260256	5534776
ERR260257	8286218
ERR260258	4997133
ERR260259	7593504
ERR260260	6761744
ERR260261	9244545
ERR260262	5126753
ERR260263	6780694
ERR260264	5529531
ERR260265	8747732
ERR260266	7398563
ERR260267	6627946
ERR275251	4417181
ERR275252	6010648
ERR260477	13510051
ERR260479	7265285
ERR260481	5357436
ERR260493	2538754
ERR262940	11085668
ERR262942	22663835
ERR505083	14552437
ERR505084	20014989
ERR505085	14180806
ERR505086	8066283
ERR505087	22363646
ERR505088	16557642
ERR505089	10881080
ERR505090	11378236
ERR505091	16200617
ERR505092	18799710
ERR505093	24412869
ERR505094	22242699
ERR505095	13613612
ERR505096	11127194
ERR505097	13220543
ERR505098	14668542
ERR505099	14841139
ERR505100	11272972
ERR505101	15512493
ERR505102	17834216
ERR505103	24912906
ERR505104	22355805
ERR505105	14329735
ERR505106	13302160
